system,step,shared_future,fragmentation,coherence,survivability
competitive,451,0.0,1.0,1.0,0.74
competitive,452,0.0,1.0,1.0,0.74
competitive,453,0.0,1.0,1.0,0.74
competitive,454,0.0,1.0,1.0,0.74
competitive,455,0.0,1.0,1.0,0.74
competitive,456,0.0,1.0,1.0,0.74
competitive,457,0.0,1.0,1.0,0.74
competitive,458,0.0,1.0,1.0,0.74
competitive,459,0.0,1.0,1.0,0.74
competitive,460,0.0,1.0,1.0,0.74
competitive,461,0.0,1.0,1.0,0.74
competitive,462,0.0,1.0,1.0,0.74
competitive,463,0.0,1.0,1.0,0.74
competitive,464,0.0,1.0,1.0,0.74
competitive,465,0.0,1.0,1.0,0.74
competitive,466,0.0,1.0,1.0,0.74
competitive,467,0.0,1.0,1.0,0.74
competitive,468,0.0,1.0,1.0,0.74
competitive,469,0.0,1.0,1.0,0.74
competitive,470,0.0,1.0,1.0,0.74
competitive,471,0.0,1.0,1.0,0.74
competitive,472,0.0,1.0,1.0,0.74
competitive,473,0.0,1.0,1.0,0.74
competitive,474,0.0,1.0,1.0,0.74
competitive,475,0.0,1.0,1.0,0.74
competitive,476,0.0,1.0,1.0,0.74
competitive,477,0.0,1.0,1.0,0.74
competitive,478,0.0,1.0,1.0,0.74
competitive,479,0.0,1.0,1.0,0.74
competitive,480,0.0,1.0,1.0,0.74
competitive,481,0.0,1.0,1.0,0.74
competitive,482,0.0,1.0,1.0,0.74
competitive,483,0.0,1.0,1.0,0.74
competitive,484,0.0,1.0,1.0,0.74
competitive,485,0.0,1.0,1.0,0.74
competitive,486,0.0,1.0,1.0,0.74
competitive,487,0.0,1.0,1.0,0.74
competitive,488,0.0,1.0,1.0,0.74
competitive,489,0.0,1.0,1.0,0.74
competitive,490,0.0,1.0,1.0,0.74
competitive,491,0.0,1.0,1.0,0.74
competitive,492,0.0,1.0,1.0,0.74
competitive,493,0.0,1.0,1.0,0.74
competitive,494,0.0,1.0,1.0,0.74
competitive,495,0.0,1.0,1.0,0.74
competitive,496,0.0,1.0,1.0,0.74
competitive,497,0.0,1.0,1.0,0.74
competitive,498,0.0,1.0,1.0,0.74
competitive,499,0.0,1.0,1.0,0.74
competitive,500,-0.05,1.06,1.0,0.7133
competitive,501,0.0,1.0,1.0,0.74
competitive,502,0.0,1.0,1.0,0.74
competitive,503,0.0,1.0,1.0,0.74
competitive,504,0.0,1.0,1.0,0.74
competitive,505,0.0,1.0,1.0,0.74
competitive,506,0.0,1.0,1.0,0.74
competitive,507,0.0,1.0,1.0,0.74
competitive,508,0.0,1.0,1.0,0.74
competitive,509,0.0,1.0,1.0,0.74
competitive,510,0.0,1.0,1.0,0.74
competitive,511,0.0,1.0,1.0,0.74
competitive,512,0.0,1.0,1.0,0.74
