scarcity,fragmentation,visibility,coupling,antifragile_score,unification_score,margin_unification_minus_antifragile,winner,near_boundary
0.0,0.0,0.7,0.45,0.176573,1.413702,1.237129,unification,False
0.0,0.0,0.7,0.5,0.09786,1.478451,1.380591,unification,False
0.0,0.0,0.7,0.55,0.096642,1.533382,1.43674,unification,False
0.0,0.0,0.7,0.6,0.069407,1.601158,1.531751,unification,False
0.0,0.0,0.7,0.65,0.067335,1.620434,1.553099,unification,False
0.0,0.0,0.7,0.7,0.087846,1.721041,1.633196,unification,False
0.0,0.0,0.7,0.75,0.037151,1.813779,1.776629,unification,False
0.0,0.0,0.7,0.8,0.023984,1.840803,1.816819,unification,False
0.0,0.0,0.7,0.85,0.024223,1.887008,1.862786,unification,False
0.0,0.0,0.7,0.9,0.011778,1.951664,1.939885,unification,False
0.0,0.0,0.7,0.95,-0.027791,2.061566,2.089357,unification,False
0.0,0.0,0.7,1.0,-0.061015,2.02968,2.090695,unification,False
0.0,0.0,0.75,0.0,0.377773,0.963733,0.58596,unification,False
0.0,0.0,0.75,0.05,0.309868,0.914079,0.604211,unification,False
0.0,0.0,0.75,0.1,0.294738,1.017844,0.723107,unification,False
0.0,0.0,0.75,0.15,0.280252,1.059665,0.779413,unification,False
0.0,0.0,0.75,0.2,0.281989,1.163113,0.881124,unification,False
0.0,0.0,0.75,0.25,0.21264,1.22998,1.01734,unification,False
0.0,0.0,0.75,0.3,0.283817,1.279299,0.995482,unification,False
0.0,0.0,0.75,0.35,0.206567,1.33395,1.127383,unification,False
0.0,0.0,0.75,0.4,0.212881,1.356733,1.143852,unification,False
0.0,0.0,0.75,0.45,0.18411,1.452738,1.268629,unification,False
0.0,0.0,0.75,0.5,0.208696,1.520646,1.31195,unification,False
0.0,0.0,0.75,0.55,0.186697,1.559906,1.373209,unification,False
0.0,0.0,0.75,0.6,0.142181,1.657985,1.515804,unification,False
0.0,0.0,0.75,0.65,0.088274,1.716935,1.628661,unification,False
0.0,0.0,0.75,0.7,0.122813,1.766905,1.644092,unification,False
0.0,0.0,0.75,0.75,0.032701,1.837061,1.80436,unification,False
0.0,0.0,0.75,0.8,0.034939,1.891441,1.856502,unification,False
0.0,0.0,0.75,0.85,0.03796,1.919859,1.881898,unification,False
0.0,0.0,0.75,0.9,-0.017891,2.037052,2.054943,unification,False
0.0,0.0,0.75,0.95,-0.008068,2.023381,2.031449,unification,False
0.0,0.0,0.75,1.0,0.007121,2.156809,2.149688,unification,False
0.0,0.0,0.8,0.0,0.342153,0.927079,0.584926,unification,False
0.0,0.0,0.8,0.05,0.363395,1.031234,0.667839,unification,False
0.0,0.0,0.8,0.1,0.384565,1.095505,0.71094,unification,False
