seed,scenario,detector,collapse_expected,warning,lead_time,verdict
21,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
21,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
22,stable_dynamic,gv_recoverability,False,,,QUIET
22,stable_dynamic,rolling_z_score,False,,,QUIET
22,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
22,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
22,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
22,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
22,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
22,critical_slowing_dynamic,rolling_z_score,True,,,MISS
22,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
22,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
22,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
22,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
23,stable_dynamic,gv_recoverability,False,,,QUIET
23,stable_dynamic,rolling_z_score,False,,,QUIET
23,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
23,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
23,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
23,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
23,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
23,critical_slowing_dynamic,rolling_z_score,True,,,MISS
23,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
23,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
23,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
23,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
24,stable_dynamic,gv_recoverability,False,,,QUIET
24,stable_dynamic,rolling_z_score,False,,,QUIET
24,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
24,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
24,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
24,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
24,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
24,critical_slowing_dynamic,rolling_z_score,True,,,MISS
24,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
24,abrupt_collapse_dynamic,gv_recoverability,True,820,-20,MISS
24,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
24,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
25,stable_dynamic,gv_recoverability,False,,,QUIET
25,stable_dynamic,rolling_z_score,False,,,QUIET
25,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
25,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
25,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
25,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
25,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
25,critical_slowing_dynamic,rolling_z_score,True,,,MISS
25,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
25,abrupt_collapse_dynamic,gv_recoverability,True,820,-20,MISS
25,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
25,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
26,stable_dynamic,gv_recoverability,False,,,QUIET
26,stable_dynamic,rolling_z_score,False,,,QUIET
26,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
26,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
26,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
26,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
26,critical_slowing_dynamic,gv_recoverability,True,820,-20,MISS
26,critical_slowing_dynamic,rolling_z_score,True,,,MISS
26,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
26,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
26,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
26,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
27,stable_dynamic,gv_recoverability,False,,,QUIET
27,stable_dynamic,rolling_z_score,False,,,QUIET
27,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
27,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
27,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
27,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
27,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
27,critical_slowing_dynamic,rolling_z_score,True,,,MISS
27,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
27,abrupt_collapse_dynamic,gv_recoverability,True,820,-20,MISS
27,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
27,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
28,stable_dynamic,gv_recoverability,False,,,QUIET
28,stable_dynamic,rolling_z_score,False,,,QUIET
28,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
28,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
28,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
28,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
28,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
28,critical_slowing_dynamic,rolling_z_score,True,,,MISS
28,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
28,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
28,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
28,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
29,stable_dynamic,gv_recoverability,False,,,QUIET
29,stable_dynamic,rolling_z_score,False,,,QUIET
29,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
29,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
29,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
29,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
29,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
29,critical_slowing_dynamic,rolling_z_score,True,,,MISS
29,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
29,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
29,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
29,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
30,stable_dynamic,gv_recoverability,False,,,QUIET
30,stable_dynamic,rolling_z_score,False,,,QUIET
30,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
30,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
30,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
30,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
30,critical_slowing_dynamic,gv_recoverability,True,780,20,EARLY_WARNING
30,critical_slowing_dynamic,rolling_z_score,True,,,MISS
30,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
30,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
30,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
30,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
31,stable_dynamic,gv_recoverability,False,,,QUIET
31,stable_dynamic,rolling_z_score,False,,,QUIET
31,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
31,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
31,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
31,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
31,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
31,critical_slowing_dynamic,rolling_z_score,True,,,MISS
31,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
31,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
31,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
31,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
32,stable_dynamic,gv_recoverability,False,,,QUIET
32,stable_dynamic,rolling_z_score,False,,,QUIET
32,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
32,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
32,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
32,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
32,critical_slowing_dynamic,gv_recoverability,True,780,20,EARLY_WARNING
32,critical_slowing_dynamic,rolling_z_score,True,,,MISS
32,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
32,abrupt_collapse_dynamic,gv_recoverability,True,820,-20,MISS
32,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
32,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
33,stable_dynamic,gv_recoverability,False,,,QUIET
33,stable_dynamic,rolling_z_score,False,,,QUIET
33,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
33,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
33,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
33,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
33,critical_slowing_dynamic,gv_recoverability,True,780,20,EARLY_WARNING
33,critical_slowing_dynamic,rolling_z_score,True,,,MISS
33,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
33,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
33,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
33,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
34,stable_dynamic,gv_recoverability,False,,,QUIET
34,stable_dynamic,rolling_z_score,False,,,QUIET
34,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
34,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
34,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
34,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
34,critical_slowing_dynamic,gv_recoverability,True,820,-20,MISS
34,critical_slowing_dynamic,rolling_z_score,True,,,MISS
34,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
34,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
34,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
34,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
35,stable_dynamic,gv_recoverability,False,,,QUIET
35,stable_dynamic,rolling_z_score,False,,,QUIET
