agent,step,gv,mode,truth,constraint,coherence,autonomy,escalation,reasons
recoverable_runtime,194,1.0,STABLE,1.0,1.0,1.0,1.0,0,
recoverable_runtime,195,1.0,STABLE,1.0,1.0,1.0,1.0,0,
recoverable_runtime,196,1.0,STABLE,1.0,1.0,1.0,1.0,0,
recoverable_runtime,197,0.979498,STABLE,0.979498,0.979498,0.979498,1.0,0,
recoverable_runtime,198,0.981193,STABLE,0.980959,0.980959,0.980927,1.0,0,
recoverable_runtime,199,0.974758,STABLE,0.974335,0.974335,0.974282,1.0,0,
truth_drift_runtime,0,0.987812,STABLE,0.987812,0.987812,0.987812,1.0,0,
truth_drift_runtime,1,0.979922,STABLE,0.979372,0.98003,0.979676,1.0,0,
truth_drift_runtime,2,0.978039,STABLE,0.976608,0.978326,0.977403,1.0,0,
truth_drift_runtime,3,0.988778,STABLE,0.986422,0.989262,0.987736,1.0,0,
truth_drift_runtime,4,0.976292,STABLE,0.973538,0.976879,0.975084,1.0,0,
truth_drift_runtime,5,0.978282,STABLE,0.974585,0.979081,0.976666,1.0,0,
truth_drift_runtime,6,0.974962,STABLE,0.970455,0.975955,0.973,1.0,0,
truth_drift_runtime,7,0.973435,STABLE,0.968006,0.97465,0.971079,1.0,0,
truth_drift_runtime,8,0.985307,STABLE,0.978929,0.986756,0.982549,1.0,0,
truth_drift_runtime,9,0.991648,STABLE,0.9849,0.993223,0.988748,1.0,0,
truth_drift_runtime,10,0.999652,STABLE,0.998697,1.0,0.99927,1.0,0,
truth_drift_runtime,11,0.998117,STABLE,0.997189,0.998455,0.997746,1.0,0,
truth_drift_runtime,12,0.99128,STABLE,0.990308,0.991622,0.990891,1.0,0,
truth_drift_runtime,13,0.989664,STABLE,0.988341,0.990071,0.989125,1.0,0,
truth_drift_runtime,14,0.992823,STABLE,0.991092,0.99331,0.992108,1.0,0,
truth_drift_runtime,15,0.995084,STABLE,0.993107,0.995624,0.994262,1.0,0,
truth_drift_runtime,16,0.984565,STABLE,0.982456,0.985139,0.983688,1.0,0,
truth_drift_runtime,17,0.986562,STABLE,0.983853,0.987263,0.985423,1.0,0,
truth_drift_runtime,18,0.98978,STABLE,0.986587,0.990589,0.988432,1.0,0,
truth_drift_runtime,19,1.0,STABLE,1.0,1.0,1.0,1.0,0,
truth_drift_runtime,20,0.875858,STABLE,0.825054,0.949864,0.842784,1.0,0,
truth_drift_runtime,21,0.881477,STABLE,0.827079,0.951102,0.849121,1.0,0,
truth_drift_runtime,22,0.874815,STABLE,0.817286,0.940477,0.842948,1.0,0,
truth_drift_runtime,23,0.877284,STABLE,0.816495,0.939451,0.845562,1.0,0,
truth_drift_runtime,24,0.888544,STABLE,0.82479,0.947572,0.856802,1.0,0,
truth_drift_runtime,25,0.907799,STABLE,0.841754,0.963929,0.876062,1.0,0,
truth_drift_runtime,26,0.906227,STABLE,0.838894,0.959596,0.874703,1.0,0,
truth_drift_runtime,27,0.905484,STABLE,0.836864,0.956368,0.874055,1.0,0,
truth_drift_runtime,28,0.889829,STABLE,0.819958,0.938473,0.85841,1.0,0,
truth_drift_runtime,29,0.895137,STABLE,0.823373,0.941891,0.86339,1.0,0,
truth_drift_runtime,30,0.891015,STABLE,0.817694,0.936032,0.858996,1.0,0,
truth_drift_runtime,31,0.892488,STABLE,0.817505,0.935983,0.860093,1.0,0,
truth_drift_runtime,32,0.890343,STABLE,0.813846,0.932464,0.857581,1.0,0,
truth_drift_runtime,33,0.896148,STABLE,0.818115,0.937059,0.862969,1.0,0,
truth_drift_runtime,34,0.88486,STABLE,0.805631,0.924643,0.851371,1.0,0,
truth_drift_runtime,35,0.877282,STABLE,0.796403,0.916152,0.843263,1.0,0,
truth_drift_runtime,36,0.906188,STABLE,0.823396,0.94432,0.871505,1.0,0,
truth_drift_runtime,37,0.898773,STABLE,0.815467,0.936012,0.864,1.0,0,
truth_drift_runtime,38,0.893797,STABLE,0.809666,0.930291,0.858786,1.0,0,
truth_drift_runtime,39,0.918506,STABLE,0.833364,0.954376,0.883164,1.0,0,
truth_drift_runtime,40,0.952067,STABLE,0.867081,0.987168,0.916882,1.0,0,
truth_drift_runtime,41,0.942406,STABLE,0.859087,0.976504,0.908012,1.0,0,
truth_drift_runtime,42,0.941518,STABLE,0.85935,0.974749,0.90768,1.0,0,
truth_drift_runtime,43,0.947813,STABLE,0.866704,0.980235,0.914482,1.0,0,
truth_drift_runtime,44,0.96652,STABLE,0.887723,0.999142,0.934416,1.0,0,
truth_drift_runtime,45,0.881572,STABLE,0.767257,0.966471,0.830281,1.0,0,
truth_drift_runtime,46,0.896216,STABLE,0.781547,0.976994,0.845514,1.0,0,
truth_drift_runtime,47,0.906334,STABLE,0.792011,0.983228,0.856378,1.0,0,
truth_drift_runtime,48,0.907591,STABLE,0.794074,0.980841,0.858472,1.0,0,
truth_drift_runtime,49,0.911182,STABLE,0.798501,0.981074,0.86284,1.0,0,
truth_drift_runtime,50,0.902103,STABLE,0.790394,0.968877,0.85453,1.0,0,
truth_drift_runtime,51,0.905066,STABLE,0.793881,0.969048,0.858029,1.0,0,
